headline,label
"CWG18; ಕುಸ್ತಿಯಲ್ಲಿ ಚಿನ್ನಗಳಿಸಿದ ರಾಹುಲ್ ಅವಾರೆ, ಸುಶೀಲ್ ಕುಮಾರ್ ​",sports
ಏಷ್ಯಾ ಕಪ್ 2018: ಪಾಕ್ ವಿರುದ್ಧ ಘರ್ಜಿಸಲು ರೋಹಿತ್ ಸೈನ್ಯ ಹೇಗಿದೆ..?,sports
ಸಮಂತಾ ವಿಷಯದಲ್ಲಿ 'ಯೂ ಟರ್ನ್'​ ಹೊಡೆದ ನಾಗ ಚೈತನ್ಯ..!,entertainment
PHOTOS: ಐಶ್ ಬೇಬಿ ಸೌಂದರ್ಯದ ಗುಟ್ಟು ರಟ್ಟು: 40 ದಾಟಿದರೂ ಹಾಟ್ ಲುಕ್ಕಿಗೇನು ಕಡಿಮೆ ಇಲ್ಲ,entertainment
ಟೀಂ ಇಂಡಿಯಾ ಆಯ್ಕೆ ಸಮಿತಿ ಸದಸ್ಯರ ಸಂಭಾವನೆ ಎಷ್ಟು ಗೊತ್ತಾ..?,sports
ದಕ್ಷಿಣ ಆಪ್ರಿಕಾದಲ್ಲಿ ಪ್ರಣಯ ಪಕ್ಷಿಗಳಾಗಿ ವಿರುಷ್ಕಾ ದಂಪತಿ,entertainment
ಕಾವೇರಿದ್ದ 'ಕಾಲಾ' ವಿರುದ್ಧದ ಹೋರಾಟ ಮಧ್ಯಾಹ್ನದ ನಂತರ ತಣ್ಣಗಾಯಿತು!,entertainment
ಜೇಬಿನಲ್ಲೇ ಐಫೋನ್​ ಸ್ಫೋಟ: ಕೋರ್ಟ್​ ಮೆಟ್ಟಿಲೇರಿದ ಗ್ರಾಹಕ,tech
ಪಾಕ್‌ನಲ್ಲಿ ’ಪ್ಯಾಡ್‌ಮ್ಯಾನ್’ ನಂತರ ’ಅಯ್ಯಾರಿ’ ಸಿನಿಮಾ ನಿಷೇಧ,entertainment
ಕೊನೆಗೂ ಸೆಟ್ಟೇರಿತು 'ಟಕ್ಕರ್'​​ ಸಿನಿಮಾ: ಚಂದನವನಕ್ಕೆ ಎಂಟ್ರಿ ಕೊಡಲಿದ್ದಾರೆ ದರ್ಶನ್​ ಸೋದರಳಿಯ,entertainment
ನಟ ದುನಿಯಾ ವಿಜಯ್​​ಗೆ ಜಾಮೀನು ಸಿಗಲೆಂದು ದೇವರ ಮೊರೆ ಹೋದ ಅಭಿಮಾನಿಗಳು,entertainment
'ಹಮ್​ ಫಿಟ್​ ತೊ ಇಂಡಿಯಾ ಫಿಟ್​' ಅಭಿಯಾನದ ಸವಾಲು ಸ್ವೀಕರಿಸಿರುವ ಅನುಷ್ಕಾ-ದೀಪಿಕಾ,entertainment
